_id,YEAR,GEOGRAPHY,IMMIGRANT,TYPE OF WORK,WAGE RATE,EDUCATION,AGE GROUP,Both sexes,Men,Women
1,2006,Canada,Total,All employees,  Median hourly wage,"Total, all education levels",15 +,17.5,19.2,16
2,2006,Canada,Total,All employees,  Median hourly wage,"Total, all education levels",25 +,19.4,21.5,17.5
3,2006,Canada,Total,All employees,  Median hourly wage,"Total, all education levels",25 - 34,18,19,16.8
4,2006,Canada,Total,All employees,  Median hourly wage,"Total, all education levels",25 - 54,19.5,21.5,17.8
5,2006,Canada,Total,All employees,  Median hourly wage,"Total, all education levels",25 - 64,19.5,21.5,17.6
6,2006,Canada,Total,All employees,  Median hourly wage, 0 - 8 years,15 +,12.3,14.3,10
7,2006,Canada,Total,All employees,  Median hourly wage, 0 - 8 years,25 +,13,15,10.5
8,2006,Canada,Total,All employees,  Median hourly wage, 0 - 8 years,25 - 34,12,13,10
9,2006,Canada,Total,All employees,  Median hourly wage, 0 - 8 years,25 - 54,12.9,15,10.3
10,2006,Canada,Total,All employees,  Median hourly wage, 0 - 8 years,25 - 64,13,15.1,10.5
11,2006,Canada,Total,All employees,  Median hourly wage, Some high school,15 +,11,13.5,9.5
12,2006,Canada,Total,All employees,  Median hourly wage, Some high school,25 +,15,17,12
13,2006,Canada,Total,All employees,  Median hourly wage, Some high school,25 - 34,13.5,15,10.6
14,2006,Canada,Total,All employees,  Median hourly wage, Some high school,25 - 54,15,17,11.8
15,2006,Canada,Total,All employees,  Median hourly wage, Some high school,25 - 64,15,17,12
16,2006,Canada,Total,All employees,  Median hourly wage, High school graduate,15 +,15,17,13.5
17,2006,Canada,Total,All employees,  Median hourly wage, High school graduate,25 +,16.8,19,15
18,2006,Canada,Total,All employees,  Median hourly wage, High school graduate,25 - 34,15,16.8,12.8
19,2006,Canada,Total,All employees,  Median hourly wage, High school graduate,25 - 54,16.8,19,14.9
20,2006,Canada,Total,All employees,  Median hourly wage, High school graduate,25 - 64,16.8,19,15
21,2006,Canada,Total,All employees,  Median hourly wage, Some post-secondary,15 +,13.8,15,12
22,2006,Canada,Total,All employees,  Median hourly wage, Some post-secondary,25 +,17.6,19.3,16
23,2006,Canada,Total,All employees,  Median hourly wage, Some post-secondary,25 - 34,15.3,16.3,14.3
