_id,Year/Année,Name/Nom,Frequency/Fréquence
1,1917,AARON,7
2,1917,ABE,5
3,1917,ABIE,5
4,1917,ABRAHAM,25
5,1917,ABRAM,7
6,1917,ADAM,19
7,1917,ADELARD,6
8,1917,ADRIAN,7
9,1917,ALAN,34
10,1917,ALBERT,502
11,1917,ALBIN,5
12,1917,ALCIDE,5
13,1917,ALEX,33
14,1917,ALEXANDER,187
15,1917,ALFRED,276
16,1917,ALFREDO,5
17,1917,ALLAN,132
18,1917,ALLEN,51
19,1917,ALMER,7
20,1917,ALPHONSE,13
21,1917,ALTON,8
22,1917,ALVIN,68
23,1917,AMBROSE,16
24,1917,AMOS,10
25,1917,ANDRE,6
26,1917,ANDREW,112
27,1917,ANGELO,18
28,1917,ANGUS,37
29,1917,ANTHONY,35
30,1917,ANTOINE,6
31,1917,ANTONIO,21
32,1917,ANTONY,5
33,1917,ARCHIBALD,38
34,1917,ARCHIE,39
35,1917,ARMAND,18
36,1917,ARNOLD,76
37,1917,ARTHUR,476
38,1917,ARVO,7
39,1917,AUBREY,20
40,1917,AUDREY,5
41,1917,AUGUSTINE,5
42,1917,AURELE,5
43,1917,AUSTIN,30
44,1917,BASIL,35
45,1917,BAZIL,5
46,1917,BEN,5
47,1917,BENEDICT,5
48,1917,BENJAMIN,51
49,1917,BENNY,5
50,1917,BERNARD,91
51,1917,BERT,21
52,1917,BERTIE,8
53,1917,BERTRAM,21
54,1917,BEVERLEY,6
55,1917,BEVERLY,8
56,1917,BILLIE,9
57,1917,BOBBIE,5
58,1917,BORDEN,6
59,1917,BRUCE,103
60,1917,BRUNO,6
61,1917,BURTON,15
62,1917,CALVIN,14
63,1917,CAMERON,19
64,1917,CARL,92
65,1917,CARLTON,7
66,1917,CARMAN,17
67,1917,CARMEN,6
68,1917,CECIL,159
69,1917,CHARLES,790
70,1917,CHARLEY,6
71,1917,CHARLIE,15
72,1917,CHESTER,29
73,1917,CHRISTOPHER,18
74,1917,CLARANCE,15
75,1917,CLARE,11
76,1917,CLARENCE,216
77,1917,CLAUD,5
78,1917,CLAUDE,29
79,1917,CLAYTON,43
80,1917,CLEMENT,14
81,1917,CLIFFORD,171
82,1917,CLIFTON,9
83,1917,CLINTON,16
84,1917,CLYDE,13
85,1917,COLIN,14
86,1917,CONRAD,7
87,1917,CORNELIUS,8
88,1917,CURTIS,5
89,1917,CYRIL,53
90,1917,DALTON,10
91,1917,DANIEL,91
92,1917,DAVID,317
93,1917,DEAN,5
94,1917,DELBERT,24
95,1917,DENIS,13
96,1917,DENNIS,14
97,1917,DESMOND,6
98,1917,DOMENICO,6
99,1917,DOMINIC,9
100,1917,DOMINICK,8
101,1917,DON,5
102,1917,DONALD,497
103,1917,DOUGLAS,279
104,1917,DUDLEY,6
105,1917,DUNCAN,38
106,1917,DWIGHT,5
107,1917,EARL,211
108,1917,EARLE,15
109,1917,EARNEST,23
110,1917,EDDIE,7
111,1917,EDGAR,68
112,1917,EDMOND,25
113,1917,EDMUND,29
114,1917,EDWARD,428
115,1917,EDWIN,107
116,1917,ELDON,23
117,1917,ELGIN,21
118,1917,ELIAS,6
119,1917,ELLIOTT,8
120,1917,ELMER,103
121,1917,ELTON,6
122,1917,ELWOOD,13
123,1917,EMANUEL,7
124,1917,EMERSON,22
125,1917,EMIL,10
126,1917,EMILE,16
127,1917,ERIC,59
128,1917,ERLE,5
129,1917,ERNEST,284
130,1917,ERVIN,6
131,1917,ERWIN,5
132,1917,EUGENE,43
133,1917,EVERETT,26
134,1917,EWART,6
135,1917,FELIX,11
136,1917,FERDINAND,6
137,1917,FERGUS,6
138,1917,FERNAND,8
139,1917,FLOYD,33
140,1917,FRANCES,22
141,1917,FRANCESCO,13
142,1917,FRANCIS,352
143,1917,FRANCOIS,7
144,1917,FRANK,306
145,1917,FRANKLIN,37
146,1917,FRED,55
147,1917,FREDERIC,21
148,1917,FREDERICK,450
149,1917,FREDRICK,42
150,1917,GABRIEL,6
151,1917,GARFIELD,11
152,1917,GARNET,42
153,1917,GARNETT,5
154,1917,GEORGE,1206
155,1917,GERALD,148
156,1917,GERARD,25
157,1917,GILBERT,45
158,1917,GINO,5
159,1917,GIOVANNI,10
160,1917,GLEN,38
161,1917,GLENN,15
162,1917,GORDEN,16
163,1917,GORDON,508
164,1917,GRAHAM,14
165,1917,GRANT,25
166,1917,GREGORY,10
167,1917,GRENVILLE,6
168,1917,GUISEPPE,8
169,1917,GUSTAVE,6
170,1917,GUY,14
171,1917,HAMILTON,7
172,1917,HARLEY,12
173,1917,HAROLD,579
174,1917,HARRY,357
175,1917,HARVEY,94
176,1917,HARVIE,5
177,1917,HECTOR,32
178,1917,HENRI,13
179,1917,HENRY,278
180,1917,HERBERT,263
181,1917,HERMAN,21
182,1917,HILLIARD,5
183,1917,HILTON,9
184,1917,HIRAM,5
185,1917,HOMER,10
186,1917,HORACE,22
187,1917,HOWARD,220
188,1917,HUBERT,58
189,1917,HUGH,118
190,1917,HYMAN,11
191,1917,IAN,21
192,1917,IRA,18
193,1917,IRVIN,14
194,1917,IRVINE,8
195,1917,IRVING,10
196,1917,IRWIN,15
197,1917,ISAAC,21
198,1917,ISIDORE,5
199,1917,ISRAEL,16
200,1917,IVAN,59
201,1917,IVOR,5
202,1917,J,1774
203,1917,JACK,270
204,1917,JACOB,30
205,1917,JAMES,1213
206,1917,JEAN,50
207,1917,JEREMIAH,7
208,1917,JEROME,19
209,1917,JESSE,7
210,1917,JOE,24
211,1917,JOHN,2453
212,1917,JOSEPH,426
213,1917,JULIAN,5
214,1917,JULIUS,11
215,1917,KARL,16
216,1917,KEITH,33
217,1917,KENNETH,357
218,1917,LAURENCE,23
219,1917,LAURENT,11
220,1917,LAVERNE,5
221,1917,LAWRANCE,7
222,1917,LAWRENCE,135
223,1917,LEE,6
224,1917,LENARD,15
225,1917,LEO,131
226,1917,LEON,27
227,1917,LEONARD,183
228,1917,LEOPOLD,7
229,1917,LEROY,9
230,1917,LESLIE,108
231,1917,LESTER,19
232,1917,LEVI,6
233,1917,LEWIS,35
234,1917,LIONEL,27
235,1917,LLOYD,403
236,1917,LORENZO,14
237,1917,LORNE,91
238,1917,LOUIE,5
239,1917,LOUIS,136
240,1917,LOYD,41
241,1917,LOYDE,8
242,1917,LUCIEN,22
243,1917,LUIGI,8
244,1917,LYALL,6
245,1917,LYLE,21
246,1917,M,26
247,1917,MALCOLM,37
248,1917,MALCOM,6
249,1917,MARCEL,5
250,1917,MARIO,6
251,1917,MARK,15
252,1917,MARSHALL,16
253,1917,MARTIN,43
254,1917,MARVIN,13
255,1917,MASON,5
256,1917,MATHEW,7
257,1917,MATTHEW,12
258,1917,MAURICE,81
259,1917,MAX,32
260,1917,MAXWELL,14
261,1917,MELVILLE,38
262,1917,MELVIN,54
263,1917,MERVIN,21
264,1917,MERVYN,11
265,1917,MICHAEL,140
266,1917,MICHEAL,8
267,1917,MICHELE,5
268,1917,MIKE,28
269,1917,MILFORD,7
270,1917,MILTON,55
271,1917,MORLEY,32
272,1917,MORRIS,56
273,1917,MOSES,16
274,1917,MURRAY,80
275,1917,MYER,7
276,1917,NAPOLEON,12
277,1917,NARCISSE,5
278,1917,NATHAN,15
279,1917,NEIL,30
280,1917,NELSON,54
281,1917,NEWTON,6
282,1917,NICHOLAS,26
283,1917,NICK,15
284,1917,NOEL,5
285,1917,NORBERT,8
286,1917,NORMAN,379
287,1917,NORMAND,5
288,1917,NORRIS,5
289,1917,NORVAL,6
290,1917,OLAVI,6
291,1917,OLIVER,43
292,1917,OMER,13
293,1917,ORAL,5
294,1917,ORLAND,8
295,1917,ORVAL,33
296,1917,ORVIL,8
297,1917,ORVILLE,30
298,1917,OSBORNE,7
299,1917,OSCAR,44
300,1917,OSWALD,12
301,1917,OTTO,8
302,1917,OVILA,8
303,1917,OWEN,11
304,1917,PASQUALE,8
305,1917,PATRICK,85
306,1917,PAUL,94
307,1917,PERCIVAL,15
308,1917,PERCY,98
309,1917,PERRY,6
310,1917,PETE,7
311,1917,PETER,162
312,1917,PHILIP,48
313,1917,PHILIPPE,6
314,1917,PHILLIP,20
315,1917,PIERRE,15
316,1917,RALPH,145
317,1917,RANDOLPH,8
318,1917,RAOUL,5
319,1917,RAPHAEL,5
320,1917,RAY,33
321,1917,RAYMOND,167
322,1917,REAL,5
323,1917,REGINALD,112
324,1917,RENE,21
325,1917,REUBEN,6
326,1917,RICHARD,182
327,1917,ROBERT,1005
328,1917,RODERICK,13
329,1917,RODNEY,6
330,1917,ROGER,20
331,1917,ROLAND,30
332,1917,ROLLAND,7
333,1917,ROMEO,17
334,1917,RONALD,99
335,1917,ROSCOE,5
336,1917,ROSS,92
337,1917,ROWLAND,6
338,1917,ROY,278
339,1917,ROYAL,12
340,1917,RUBEN,11
341,1917,RUDOLPH,6
342,1917,RUPERT,5
343,1917,RUSSEL,41
344,1917,RUSSELL,152
345,1917,SALVATORE,7
346,1917,SAM,25
347,1917,SAMUEL,155
348,1917,SHELDON,5
349,1917,SHERMAN,5
350,1917,SIDNEY,84
351,1917,SILAS,6
352,1917,SIMEON,5
353,1917,SIMON,9
354,1917,SOLOMON,16
355,1917,STAFFORD,6
356,1917,STANISLAUS,5
357,1917,STANLEY,218
358,1917,STEFAN,5
359,1917,STEPHEN,68
360,1917,STERLING,6
361,1917,STEVE,13
362,1917,STEVEN,7
363,1917,STEWART,47
364,1917,STUART,50
365,1917,SYDNEY,35
366,1917,SYLVESTER,7
367,1917,TAUNO,5
368,1917,THEODORE,32
369,1917,THEOPHILE,6
370,1917,THOMAS,629
371,1917,TIMOTHY,5
372,1917,TOIVO,6
373,1917,TOM,5
374,1917,TONY,17
375,1917,VERDUN,11
376,1917,VERNE,6
377,1917,VERNON,69
378,1917,VICTOR,144
379,1917,VINCENT,75
380,1917,VITTORIO,5
381,1917,VIVIAN,6
382,1917,WAINO,7
383,1917,WALLACE,47
384,1917,WALTER,396
385,1917,WARREN,24
386,1917,WELLINGTON,12
387,1917,WENDELL,5
388,1917,WESLEY,51
389,1917,WILBER,6
390,1917,WILBERT,65
391,1917,WILBUR,13
392,1917,WILFORD,12
393,1917,WILFRED,203
394,1917,WILFRID,40
395,1917,WILLARD,24
396,1917,WILLIAM,2236
397,1917,WILLIARD,5
398,1917,WILLIE,18
399,1917,WILLIS,17
400,1917,WILMER,8
401,1917,WILMOT,7
402,1917,WILSON,16
403,1917,WINSTON,8
404,1917,WOODROW,13
405,1917,WRAY,5
406,1918,AARON,7
407,1918,ABRAHAM,32
408,1918,ADAM,16
409,1918,ADELARD,8
410,1918,ADOLF,5
411,1918,ADOLPHUS,5
412,1918,ADRIAN,5
413,1918,AGOSTINO,5
414,1918,ALAN,29
415,1918,ALBERT,482
416,1918,ALCIDE,11
417,1918,ALDO,6
418,1918,ALEC,5
419,1918,ALEX,22
420,1918,ALEXANDER,209
421,1918,ALFRED,232
422,1918,ALLAN,127
423,1918,ALLEN,72
424,1918,ALONZO,8
425,1918,ALPHONSE,20
426,1918,ALTON,8
427,1918,ALVA,7
428,1918,ALVIN,57
429,1918,AMBROSE,16
430,1918,AMOS,10
431,1918,ANDREW,94
432,1918,ANGELO,12
433,1918,ANGUS,31
434,1918,ANSON,5
435,1918,ANTHONY,46
436,1918,ANTOINE,7
437,1918,ANTONIO,29
438,1918,ARCHIBALD,52
439,1918,ARCHIE,28
440,1918,ARMAND,22
441,1918,ARNOLD,76
442,1918,ARTHUR,480
443,1918,ATHOL,5
444,1918,AUBREY,14
445,1918,AUDREY,6
446,1918,AUGUST,5
447,1918,AUGUSTINE,6
448,1918,AURELE,6
449,1918,AUSTIN,25
450,1918,BASIL,29
451,1918,BEN,6
452,1918,BENJAMIN,56
453,1918,BERNARD,91
454,1918,BERT,21
455,1918,BERTIE,5
456,1918,BERTON,5
457,1918,BERTRAM,18
458,1918,BEVERLEY,12
459,1918,BEVERLY,11
460,1918,BILL,5
461,1918,BILLIE,5
462,1918,BILLY,8
463,1918,BLAKE,7
464,1918,BOLESLAW,5
465,1918,BORDEN,6
466,1918,BRIAN,7
467,1918,BRUCE,106
468,1918,BURTON,13
469,1918,BYRON,7
470,1918,CALVIN,17
471,1918,CAMERON,14
472,1918,CAMPBELL,6
473,1918,CARL,96
474,1918,CARLTON,6
475,1918,CARMAN,15
476,1918,CARMEN,6
477,1918,CAROL,5
478,1918,CARROLL,7
479,1918,CARSON,10
480,1918,CECIL,145
481,1918,CHARLES,822
482,1918,CHARLIE,23
483,1918,CHESTER,31
484,1918,CHRISTOPHER,14
485,1918,CLARANCE,23
486,1918,CLARENCE,232
487,1918,CLARK,6
488,1918,CLAUD,6
489,1918,CLAUDE,23
490,1918,CLAYTON,44
491,1918,CLEMENT,11
492,1918,CLIFFORD,205
493,1918,CLIFTON,9
494,1918,CLINTON,16
495,1918,CLYDE,10
496,1918,COLIN,14
497,1918,CONRAD,16
498,1918,CORNELIUS,6
499,1918,CYRIL,32
500,1918,DALTON,16
501,1918,DANIEL,72
502,1918,DARCY,6
503,1918,DAVID,294
504,1918,DELBERT,21
505,1918,DELMER,9
506,1918,DENIS,7
507,1918,DENNIS,16
508,1918,DESMOND,8
509,1918,DOMINIC,7
510,1918,DOMINICO,6
511,1918,DONALD,534
512,1918,DOUGALD,5
513,1918,DOUGLAS,429
514,1918,DUNCAN,29
515,1918,DWIGHT,8
516,1918,EARL,172
517,1918,EARLE,24
518,1918,EARNEST,39
519,1918,EDDIE,7
520,1918,EDGAR,71
521,1918,EDMOND,25
522,1918,EDMUND,29
523,1918,EDOUARD,5
524,1918,EDWARD,472
525,1918,EDWIN,107
526,1918,EINO,5
527,1918,ELBERT,5
528,1918,ELDON,18
529,1918,ELDRED,5
530,1918,ELGIN,20
531,1918,ELI,7
532,1918,ELIJAH,6
533,1918,ELLWOOD,6
534,1918,ELMER,140
535,1918,ELMO,5
536,1918,ELTON,6
537,1918,ELWOOD,20
538,1918,ELWYN,6
539,1918,EMANUEL,5
540,1918,EMERSON,22
541,1918,EMILE,17
542,1918,ERIC,63
543,1918,ERMINIO,5
544,1918,ERNEST,272
545,1918,ERNIE,5
546,1918,ERWIN,7
547,1918,EUGENE,65
548,1918,EVAN,9
549,1918,EVERETT,47
550,1918,EWART,14
551,1918,EZRA,5
552,1918,FELIX,9
553,1918,FERDINAND,7
554,1918,FERGUS,5
555,1918,FERNAND,7
556,1918,FLOYD,32
557,1918,FRANCES,18
558,1918,FRANCESCO,6
559,1918,FRANCIS,343
560,1918,FRANCISCO,5
561,1918,FRANCOIS,7
562,1918,FRANK,298
563,1918,FRANKLIN,47
564,1918,FRASER,8
565,1918,FRED,78
566,1918,FREDDIE,5
567,1918,FREDERIC,17
568,1918,FREDERICK,410
569,1918,FREDRICK,67
570,1918,GARFIELD,15
571,1918,GARNET,61
572,1918,GEORGE,1193
573,1918,GERALD,188
574,1918,GERARD,29
575,1918,GILBERT,64
576,1918,GIOVANNI,8
577,1918,GLEN,41
578,1918,GLENN,19
579,1918,GODFREY,5
580,1918,GORDAN,5
581,1918,GORDEN,11
582,1918,GORDON,552
583,1918,GRAHAM,14
584,1918,GRANT,19
585,1918,GREGORY,7
586,1918,GRENVILLE,5
587,1918,GUISEPPE,8
588,1918,GUY,8
589,1918,HAROLD,591
590,1918,HARRIS,11
591,1918,HARROLD,5
592,1918,HARRY,370
593,1918,HARVEY,100
594,1918,HARVIE,5
595,1918,HECTOR,33
596,1918,HENERY,5
597,1918,HENRI,17
598,1918,HENRY,256
599,1918,HERBERT,239
600,1918,HERMAN,27
601,1918,HILLIARD,7
602,1918,HIRAM,6
603,1918,HOMER,9
604,1918,HORACE,23
605,1918,HOWARD,242
606,1918,HUBERT,39
607,1918,HUGH,123
608,1918,HYMAN,9
609,1918,IAN,18
610,1918,IRA,6
611,1918,IRVIN,12
612,1918,IRVINE,9
613,1918,IRVING,17
614,1918,IRWIN,18
615,1918,ISAAC,12
616,1918,ISIDORE,6
617,1918,ISRAEL,11
618,1918,IVAN,63
619,1918,J,1929
620,1918,JACK,244
621,1918,JACKSON,7
622,1918,JACOB,24
623,1918,JAMES,1257
624,1918,JEAN,58
625,1918,JEREMIAH,5
626,1918,JEROME,14
627,1918,JESSE,9
628,1918,JOE,22
629,1918,JOEL,5
630,1918,JOHN,2364
631,1918,JOSEPH,444
632,1918,JULIAN,9
633,1918,JULIUS,6
634,1918,JUSTIN,6
635,1918,KARL,19
636,1918,KEITH,35
637,1918,KENETH,5
638,1918,KENNETH,394
639,1918,LAURENCE,22
640,1918,LAURENT,17
641,1918,LAURI,8
642,1918,LAVERN,7
643,1918,LAWRENCE,169
644,1918,LAWSON,5
645,1918,LENARD,9
646,1918,LENNARD,5
647,1918,LEO,106
648,1918,LEON,20
649,1918,LEONARD,172
650,1918,LEOPOLD,9
651,1918,LEROY,13
652,1918,LESLIE,101
653,1918,LESTER,12
654,1918,LEVI,5
655,1918,LEWIS,43
656,1918,LIONEL,25
657,1918,LLOYD,362
658,1918,LORENZO,6
